id, partner_code, name, description, code
1, pt2, Prize name 40 de, Prize description de, pr40
2, pt2, Prize name 21 de, Prize description de, pr21
3, pt2, Prize name 11 de, Prize description de, pr11
4, pt3, Prize name 44 de, Prize description de, pr44
5, pt4, Prize name 33 de, Prize description de, pr33
6, pt4, Prize name 29 de, Prize description de, pr29
7, pt4, Prize name 30 de, Prize description de, pr30
8, pt3, Prize name 17 de, Prize description de, pr17
9, pt5, Prize name 48 de, Prize description de, pr48
10, pt5, Prize name 27 de, Prize description de, pr27
11, pt5, Prize name 16 de, Prize description de, pr16
12, pt4, Prize name 28 de, Prize description de, pr28
13, pt5, Prize name 43 de, Prize description de, pr43
14, pt4, Prize name 16 de, Prize description de, pr16
15, pt4, Prize name 36 de, Prize description de, pr36
16, pt1, Prize name 20 de, Prize description de, pr20
17, pt4, Prize name 47 de, Prize description de, pr47
18, pt3, Prize name 33 de, Prize description de, pr33
19, pt4, Prize name 10 de, Prize description de, pr10
20, pt5, Prize name 49 de, Prize description de, pr49
21, pt1, Prize name 45 de, Prize description de, pr45
22, pt3, Prize name 44 de, Prize description de, pr44
23, pt5, Prize name 33 de, Prize description de, pr33
24, pt1, Prize name 27 de, Prize description de, pr27
25, pt5, Prize name 11 de, Prize description de, pr11
26, pt2, Prize name 38 de, Prize description de, pr38
27, pt1, Prize name 45 de, Prize description de, pr45
28, pt1, Prize name 30 de, Prize description de, pr30
29, pt1, Prize name 10 de, Prize description de, pr10
30, pt3, Prize name 35 de, Prize description de, pr35
31, pt1, Prize name 33 de, Prize description de, pr33
32, pt1, Prize name 36 de, Prize description de, pr36
33, pt5, Prize name 14 de, Prize description de, pr14
34, pt5, Prize name 49 de, Prize description de, pr49
35, pt3, Prize name 14 de, Prize description de, pr14
36, pt2, Prize name 14 de, Prize description de, pr14
37, pt1, Prize name 28 de, Prize description de, pr28
38, pt3, Prize name 34 de, Prize description de, pr34
39, pt5, Prize name 42 de, Prize description de, pr42
40, pt1, Prize name 48 de, Prize description de, pr48
41, pt3, Prize name 31 de, Prize description de, pr31
42, pt3, Prize name 36 de, Prize description de, pr36
43, pt1, Prize name 41 de, Prize description de, pr41
44, pt1, Prize name 38 de, Prize description de, pr38
45, pt1, Prize name 34 de, Prize description de, pr34
46, pt5, Prize name 13 de, Prize description de, pr13
47, pt4, Prize name 28 de, Prize description de, pr28
48, pt4, Prize name 34 de, Prize description de, pr34
49, pt5, Prize name 14 de, Prize description de, pr14
50, pt4, Prize name 49 de, Prize description de, pr49
51, pt1, Prize name 16 de, Prize description de, pr16
52, pt1, Prize name 33 de, Prize description de, pr33
53, pt2, Prize name 10 de, Prize description de, pr10
54, pt2, Prize name 12 de, Prize description de, pr12
55, pt3, Prize name 16 de, Prize description de, pr16
56, pt5, Prize name 22 de, Prize description de, pr22
57, pt4, Prize name 20 de, Prize description de, pr20
58, pt5, Prize name 44 de, Prize description de, pr44
59, pt1, Prize name 35 de, Prize description de, pr35
60, pt2, Prize name 32 de, Prize description de, pr32
61, pt5, Prize name 22 de, Prize description de, pr22
62, pt1, Prize name 26 de, Prize description de, pr26
63, pt1, Prize name 30 de, Prize description de, pr30
64, pt5, Prize name 40 de, Prize description de, pr40
65, pt1, Prize name 12 de, Prize description de, pr12
66, pt3, Prize name 33 de, Prize description de, pr33
67, pt3, Prize name 27 de, Prize description de, pr27
68, pt5, Prize name 11 de, Prize description de, pr11
69, pt3, Prize name 10 de, Prize description de, pr10
70, pt5, Prize name 16 de, Prize description de, pr16
71, pt4, Prize name 26 de, Prize description de, pr26
72, pt5, Prize name 20 de, Prize description de, pr20
73, pt1, Prize name 25 de, Prize description de, pr25
74, pt3, Prize name 30 de, Prize description de, pr30
75, pt5, Prize name 24 de, Prize description de, pr24
76, pt4, Prize name 30 de, Prize description de, pr30
77, pt5, Prize name 12 de, Prize description de, pr12
78, pt4, Prize name 29 de, Prize description de, pr29
79, pt2, Prize name 23 de, Prize description de, pr23
80, pt2, Prize name 40 de, Prize description de, pr40
81, pt4, Prize name 37 de, Prize description de, pr37
82, pt3, Prize name 21 de, Prize description de, pr21
83, pt4, Prize name 16 de, Prize description de, pr16
84, pt4, Prize name 22 de, Prize description de, pr22
85, pt5, Prize name 43 de, Prize description de, pr43
86, pt3, Prize name 43 de, Prize description de, pr43
87, pt3, Prize name 34 de, Prize description de, pr34
88, pt4, Prize name 28 de, Prize description de, pr28
89, pt4, Prize name 18 de, Prize description de, pr18
90, pt1, Prize name 29 de, Prize description de, pr29
91, pt4, Prize name 44 de, Prize description de, pr44
92, pt3, Prize name 33 de, Prize description de, pr33
93, pt5, Prize name 13 de, Prize description de, pr13
94, pt4, Prize name 45 de, Prize description de, pr45
95, pt5, Prize name 36 de, Prize description de, pr36
96, pt3, Prize name 31 de, Prize description de, pr31
97, pt2, Prize name 10 de, Prize description de, pr10
98, pt3, Prize name 33 de, Prize description de, pr33
99, pt5, Prize name 18 de, Prize description de, pr18
100, pt2, Prize name 49 de, Prize description de, pr49
101, pt1, Prize name 49 de, Prize description de, pr49
102, pt2, Prize name 35 de, Prize description de, pr35
103, pt4, Prize name 17 de, Prize description de, pr17
104, pt3, Prize name 12 de, Prize description de, pr12
105, pt5, Prize name 39 de, Prize description de, pr39
106, pt2, Prize name 32 de, Prize description de, pr32
107, pt1, Prize name 12 de, Prize description de, pr12
108, pt3, Prize name 22 de, Prize description de, pr22
109, pt1, Prize name 41 de, Prize description de, pr41
110, pt1, Prize name 40 de, Prize description de, pr40
111, pt1, Prize name 10 de, Prize description de, pr10
112, pt3, Prize name 18 de, Prize description de, pr18
113, pt1, Prize name 34 de, Prize description de, pr34
114, pt3, Prize name 24 de, Prize description de, pr24
115, pt3, Prize name 42 de, Prize description de, pr42
116, pt1, Prize name 39 de, Prize description de, pr39
117, pt4, Prize name 48 de, Prize description de, pr48
118, pt5, Prize name 13 de, Prize description de, pr13
119, pt2, Prize name 33 de, Prize description de, pr33
120, pt4, Prize name 36 de, Prize description de, pr36
121, pt1, Prize name 42 de, Prize description de, pr42
122, pt5, Prize name 43 de, Prize description de, pr43
123, pt1, Prize name 24 de, Prize description de, pr24
124, pt2, Prize name 27 de, Prize description de, pr27
125, pt2, Prize name 48 de, Prize description de, pr48
126, pt4, Prize name 31 de, Prize description de, pr31
127, pt2, Prize name 37 de, Prize description de, pr37
128, pt1, Prize name 28 de, Prize description de, pr28
129, pt4, Prize name 27 de, Prize description de, pr27
130, pt1, Prize name 41 de, Prize description de, pr41
131, pt3, Prize name 30 de, Prize description de, pr30
132, pt1, Prize name 32 de, Prize description de, pr32
133, pt2, Prize name 31 de, Prize description de, pr31
134, pt4, Prize name 37 de, Prize description de, pr37
135, pt1, Prize name 10 de, Prize description de, pr10
136, pt1, Prize name 20 de, Prize description de, pr20
137, pt1, Prize name 10 de, Prize description de, pr10
138, pt1, Prize name 22 de, Prize description de, pr22
139, pt4, Prize name 28 de, Prize description de, pr28
140, pt1, Prize name 18 de, Prize description de, pr18
141, pt1, Prize name 23 de, Prize description de, pr23
142, pt5, Prize name 44 de, Prize description de, pr44
143, pt2, Prize name 48 de, Prize description de, pr48
144, pt5, Prize name 17 de, Prize description de, pr17
145, pt3, Prize name 49 de, Prize description de, pr49
146, pt4, Prize name 11 de, Prize description de, pr11
147, pt3, Prize name 16 de, Prize description de, pr16
148, pt4, Prize name 20 de, Prize description de, pr20
149, pt2, Prize name 25 de, Prize description de, pr25
150, pt5, Prize name 15 de, Prize description de, pr15
151, pt4, Prize name 17 de, Prize description de, pr17
152, pt2, Prize name 21 de, Prize description de, pr21
153, pt2, Prize name 21 de, Prize description de, pr21
154, pt5, Prize name 30 de, Prize description de, pr30
155, pt4, Prize name 27 de, Prize description de, pr27
156, pt4, Prize name 48 de, Prize description de, pr48
157, pt3, Prize name 33 de, Prize description de, pr33
158, pt5, Prize name 10 de, Prize description de, pr10
159, pt3, Prize name 39 de, Prize description de, pr39
160, pt3, Prize name 13 de, Prize description de, pr13
161, pt4, Prize name 48 de, Prize description de, pr48
162, pt4, Prize name 39 de, Prize description de, pr39
163, pt4, Prize name 10 de, Prize description de, pr10
164, pt5, Prize name 22 de, Prize description de, pr22
165, pt1, Prize name 21 de, Prize description de, pr21
166, pt2, Prize name 49 de, Prize description de, pr49
167, pt4, Prize name 34 de, Prize description de, pr34
168, pt2, Prize name 17 de, Prize description de, pr17
169, pt2, Prize name 10 de, Prize description de, pr10
170, pt3, Prize name 31 de, Prize description de, pr31
171, pt4, Prize name 48 de, Prize description de, pr48
172, pt2, Prize name 34 de, Prize description de, pr34
173, pt1, Prize name 24 de, Prize description de, pr24
174, pt3, Prize name 14 de, Prize description de, pr14
175, pt2, Prize name 13 de, Prize description de, pr13
176, pt1, Prize name 17 de, Prize description de, pr17
177, pt2, Prize name 30 de, Prize description de, pr30
178, pt4, Prize name 17 de, Prize description de, pr17
179, pt4, Prize name 29 de, Prize description de, pr29
180, pt5, Prize name 40 de, Prize description de, pr40
181, pt5, Prize name 16 de, Prize description de, pr16
182, pt4, Prize name 46 de, Prize description de, pr46
183, pt2, Prize name 18 de, Prize description de, pr18
184, pt3, Prize name 26 de, Prize description de, pr26
185, pt5, Prize name 49 de, Prize description de, pr49
186, pt1, Prize name 23 de, Prize description de, pr23
187, pt1, Prize name 27 de, Prize description de, pr27
188, pt1, Prize name 43 de, Prize description de, pr43
189, pt2, Prize name 30 de, Prize description de, pr30
